content,score,at,clean,processed,sentiment
"pengembalian dana sangat lama harus ditunggu 14hari,tolong kembalikan dana saya secepatnya",1,2025-12-07 13:57:19,pengembalian dana sangat lama harus ditunggu hari tolong kembalikan dana saya secepatnya,kembali dana tunggu tolong kembali dana cepat,negative
sangatt membantu,5,2025-12-07 13:30:49,sangatt membantu,sangatt bantu,positive
"benar aplikasi sampah, gak ada untuk refund voucher",1,2025-12-07 12:51:34,benar aplikasi sampah gak ada untuk refund voucher,aplikasi sampah refund voucher,negative
bgus.. bnyak diskon,5,2025-12-07 08:47:20,bgus bnyak diskon,bgus bnyak diskon,positive
"semua yg ada di Qpon murmer..enak..kualits bagus..sering ada promo yg kadang ga masuk akal..saking murah nya🤭..sering"" lah kasih promo ke Akun saya",5,2025-12-07 04:30:51,semua yg ada di qpon murmer enak kualits bagus sering ada promo yg kadang ga masuk akal saking murah nya sering lah kasih promo ke akun saya,qpon murmer enak kualits bagus promo kadang masuk akal saking murah kasih promo akun,positive
kaga bisa repound mending unistall aja,1,2025-12-07 03:42:54,kaga bisa repound mending unistall aja,kaga repound mending unistall,negative
awal² bisa di pake sekarang karna cuman keluar dari akun Terus masuk lagi ga bisa (terdeteksi akun tidak normal) semoga di perbaiki qpon karna diskonnya membantu banyak orang. dan akun saya bisa di pake kembali,1,2025-12-07 00:18:51,awal bisa di pake sekarang karna cuman keluar dari akun terus masuk lagi ga bisa terdeteksi akun tidak normal semoga di perbaiki qpon karna diskonnya membantu banyak orang dan akun saya bisa di pake kembali,pake karna cuman akun masuk deteksi akun normal moga baik qpon karna diskon bantu orang akun pake,negative
"Saya sangat senang! 🎉 tidak ada biaya tambahan yang tersembunyi. Luar biasa, saya sangat merekomendasikan aplikasi ini!",5,2025-12-06 19:27:46,saya sangat senang tidak ada biaya tambahan yang tersembunyi luar biasa saya sangat merekomendasikan aplikasi ini,senang biaya tambah sembunyi rekomendasi aplikasi,positive
"""Qpon benar-benar aplikasi yang wajib dimiliki, terutama buat anak muda dan pelajar! 🎉 Gampang dipakai, promo makanan harian melimpah, dan diskon restoran kekinian bikin hidup jadi lebih hemat. 👍 Kalau mau gaya hidup yang praktis dan hemat, aplikasi ini solusi terbaik! 🥳""",5,2025-12-06 18:16:29,qpon benar benar aplikasi yang wajib dimiliki terutama buat anak muda dan pelajar gampang dipakai promo makanan harian melimpah dan diskon restoran kekinian bikin hidup jadi lebih hemat kalau mau gaya hidup yang praktis dan hemat aplikasi ini solusi terbaik,qpon aplikasi wajib milik anak muda ajar gampang pakai promo makan hari limpah diskon restoran kini bikin hidup hemat gaya hidup praktis hemat aplikasi solusi baik,positive
aplikasi gk guna setiap mau ditukar kupon malah ngasih keterangan terlalu banyak peminat lahh server sedang sibuklahh. jadi gk recomend sama skali!!! udh exited mau pakai kupon tpi malah kecewa polll,1,2025-12-06 13:39:00,aplikasi gk guna setiap mau ditukar kupon malah ngasih keterangan terlalu banyak peminat lahh server sedang sibuklahh jadi gk recomend sama skali udh exited mau pakai kupon tpi malah kecewa polll,aplikasi tukar kupon ngasih terang minat lahh server sibuklahh recomend skali exited pakai kupon kecewa polll,negative
"qpon aneh gajelas , cs nya juga gajelas , masa mau login pake wa maupun pake nomor biasa gabisa katanya "" akun anda terdeteksi tidak normal "" padahal udah coba pake nomor lain tapi tetep gabisa . DASAR ANEH",1,2025-12-06 12:51:24,qpon aneh gajelas cs nya juga gajelas masa mau login pake wa maupun pake nomor biasa gabisa katanya akun anda terdeteksi tidak normal padahal udah coba pake nomor lain tapi tetep gabisa dasar aneh,qpon aneh gajelas cs gajelas login pake wa pake nomor gabisa akun deteksi normal coba pake nomor tetep gabisa dasar aneh,negative
Qpon sangat membantu untuk mendapatkan promo dan penawaran menarik dengan cepat. Antarmuka aplikasinya simpel sehingga mudah digunakan. Pengalaman yang menyenangkan karena bisa mendapatkan banyak diskon.,5,2025-12-06 12:49:48,qpon sangat membantu untuk mendapatkan promo dan penawaran menarik dengan cepat antarmuka aplikasinya simpel sehingga mudah digunakan pengalaman yang menyenangkan karena bisa mendapatkan banyak diskon,qpon bantu promo tawar tarik cepat antarmuka aplikasi simpel mudah alam senang diskon,positive
lama2 gak berguna pada mehong dulu sih iya murceu jajan diQpon karena Udeh pada download tau Qpon jadi harga mehong mending langsung jajan di tenan lebih Murce banyak discount nya,1,2025-12-06 12:20:38,lama gak berguna pada mehong dulu sih iya murceu jajan diqpon karena udeh pada download tau qpon jadi harga mehong mending langsung jajan di tenan lebih murce banyak discount nya,guna mehong iya murceu jajan diqpon udeh download tau qpon harga mehong mending langsung jajan tenan murce discount,negative
gak jelas selalu keluar sendiri... uninstal lah,1,2025-12-06 11:46:16,gak jelas selalu keluar sendiri uninstal lah,uninstal,negative
murah banget,5,2025-12-06 07:35:17,murah banget,murah,positive
Enak dan murah,5,2025-12-06 06:57:28,enak dan murah,enak murah,positive
bye qpon aku gk pakai lg karena harganya sama aja...,1,2025-12-06 04:09:59,bye qpon aku gk pakai lg karena harganya sama aja,bye qpon pakai lg harga,negative
"PROSES REFUND LAMAAAAA BANGETTTTTT!!!!!!!!!! BISA GAK SIHH MAKSIMAL 5HARI AJAA, GAUSAH 14HARII!!!!!!! GIMANAAA SIHHHH?!!!!!",1,2025-12-06 03:24:54,proses refund lamaaaaa bangetttttt bisa gak sihh maksimal hari ajaa gausah harii gimanaaa sihhhh,proses refund lamaaaaa bangetttttt sihh maksimal ajaa gausah hari gimanaaa sihhhh,negative
respon adm cepat..dan proses refund jg cepat.,5,2025-12-05 15:43:59,respon adm cepat dan proses refund jg cepat,respon adm cepat proses refund jg cepat,positive
Banyak promo & mudah dalam menjawab komplain,5,2025-12-05 14:22:38,banyak promo mudah dalam menjawab komplain,promo mudah komplain,positive
giliran mo di tuker malah eror.. nyebelin,1,2025-12-05 13:50:23,giliran mo di tuker malah eror nyebelin,gilir mo tuker eror nyebelin,negative
bagus mantap,5,2025-12-05 12:29:55,bagus mantap,bagus mantap,positive
kenapa apk qponnya error,2,2025-12-05 10:28:07,kenapa apk qponnya error,apk qponnya error,negative
"qpon parah,, kupon gw hilang semua udah 3 hari eror. perbaiki kek aplikasinya jangan pada malas. ratting lu udah anjlok parah juga, bukannya evaluasi!!!",1,2025-12-05 10:26:45,qpon parah kupon gw hilang semua udah hari eror perbaiki kek aplikasinya jangan pada malas ratting lu udah anjlok parah juga bukannya evaluasi,qpon parah kupon gw hilang eror baik kek aplikasi malas ratting lu anjlok parah evaluasi,negative
dapat kupon2 ekstra sehingga harga makanan favorit kita sangat terjangakau,5,2025-12-05 10:17:29,dapat kupon ekstra sehingga harga makanan favorit kita sangat terjangakau,kupon ekstra harga makan favorit terjangakau,positive
please admin qpon...kenapa tiba2 eror..gak bisa dibuka... padahal banyak pesanan yang belum saya ambil😭😭😭,2,2025-12-05 10:14:52,please admin qpon kenapa tiba eror gak bisa dibuka padahal banyak pesanan yang belum saya ambil,please admin qpon eror buka pesan ambil,negative
"Aplikasi ini benar-benar wajib banget buat anak muda! 😍 Promo makanannya banyak banget, mudah dipakai, dan pastinya hemat tiap hari. User interface-nya sederhana tapi fungsional, bikin pengalaman jadi nyaman. Cocok banget buat anak kos yang mau hidup hemat tanpa ribet. Worth it banget! 🔥",5,2025-12-05 10:02:14,aplikasi ini benar benar wajib banget buat anak muda promo makanannya banyak banget mudah dipakai dan pastinya hemat tiap hari user interface nya sederhana tapi fungsional bikin pengalaman jadi nyaman cocok banget buat anak kos yang mau hidup hemat tanpa ribet worth it banget,aplikasi wajib anak muda promo makan mudah pakai pasti hemat user interface sederhana fungsional bikin alam nyaman cocok anak kos hidup hemat ribet worth it,positive
knp pengecualian sistem trs si,1,2025-12-05 09:45:38,knp pengecualian sistem trs si,knp kecuali sistem trs si,negative
"Ada masalah, kupon saya tiba² hilang dengan status lokasi ke Jakarta Pusat. Customer service juga tidak bisa dihubungi.",1,2025-12-05 09:41:38,ada masalah kupon saya tiba hilang dengan status lokasi ke jakarta pusat customer service juga tidak bisa dihubungi,kupon hilang status lokasi jakarta pusat customer service hubung,negative
"""Pake Qpon makin hemat banget buat anak kos! 🤑 Semua promo makanan harian gampang diakses, aplikasinya praktis dan user-friendly. Diskon kuliner kekinian selalu update, cocok banget buat pelajar atau siapa aja yang suka hunting promo. Hidup jadi lebih hemat dan aplikasi ini worth it banget! 🔥""",5,2025-12-05 07:57:27,pake qpon makin hemat banget buat anak kos semua promo makanan harian gampang diakses aplikasinya praktis dan user friendly diskon kuliner kekinian selalu update cocok banget buat pelajar atau siapa aja yang suka hunting promo hidup jadi lebih hemat dan aplikasi ini worth it banget,pake qpon hemat anak kos promo makan hari gampang akses aplikasi praktis user friendly diskon kuliner kini update cocok ajar suka hunting promo hidup hemat aplikasi worth it,positive
"Tiba tiba akun tidam bisa login, terdeteksi mencurigakan, padahal saya selalu setia memakainya sudah berbulan bulan, riwayat saya semua bersih, ketika komplain ke cs, jawaban cs tidak jelas, terlalu template, tidak ada sedikitpun solusi lain untuk masalah tersebut. Sangat mengecewakan harus meninggalkan aplikasi ini, tetapi mau bagaimana lagi, layanannya sudah busuk sekarang",1,2025-12-05 05:27:15,tiba tiba akun tidam bisa login terdeteksi mencurigakan padahal saya selalu setia memakainya sudah berbulan bulan riwayat saya semua bersih ketika komplain ke cs jawaban cs tidak jelas terlalu template tidak ada sedikitpun solusi lain untuk masalah tersebut sangat mengecewakan harus meninggalkan aplikasi ini tetapi mau bagaimana lagi layanannya sudah busuk sekarang,akun tidam login deteksi curiga setia maka bulan riwayat bersih komplain cs cs template sedikit solusi kecewa tinggal aplikasi layan busuk,negative
undi2 check-in nya gimmick doang ya? masa dptnya selalu voc 5k. apus aja udh itu. pembohongan,2,2025-12-05 04:08:30,undi check in nya gimmick doang ya masa dptnya selalu voc k apus aja udh itu pembohongan,undi check in gimmick doang ya dptnya voc apus bohong,negative
"Terima kasih buat penyelesaiannya. pertahankan selalu dalam memberi yg terbaik untuk customermu, tq",5,2025-12-05 04:01:27,terima kasih buat penyelesaiannya pertahankan selalu dalam memberi yg terbaik untuk customermu tq,terima kasih selesai tahan baik customermu tq,positive
aplikasinya bagus banget,5,2025-12-05 03:32:16,aplikasinya bagus banget,aplikasi bagus,positive
"Sangat tidak jelas dan tidak dapat digunakan voucher nya, membuang waktu",1,2025-12-04 13:23:25,sangat tidak jelas dan tidak dapat digunakan voucher nya membuang waktu,voucher buang,negative
Bisa bisa QPON plin plan... voucher sdh dibayarkan tp tiba2 dihanguskan seenak dia dan tdk bisa refund.. alasannya tdk masuk akal.. katanya klwau refund harus kurg dr 7hr..punya sy baru 3hr katanya tetap tdk bisa,1,2025-12-04 12:20:17,bisa bisa qpon plin plan voucher sdh dibayarkan tp tiba dihanguskan seenak dia dan tdk bisa refund alasannya tdk masuk akal katanya klwau refund harus kurg dr hr punya sy baru hr katanya tetap tdk bisa,qpon plin plan voucher sdh bayar hangus enak tdk refund alas tdk masuk akal klwau refund kurg dr hr sy hr tdk,negative
"aplikasi ini cocok untuk anak muda kaya kita, banyak promo di aplikasi ini sangat cocok",5,2025-12-04 12:11:53,aplikasi ini cocok untuk anak muda kaya kita banyak promo di aplikasi ini sangat cocok,aplikasi cocok anak muda kaya promo aplikasi cocok,positive
"qpon semakin kesini semakin tidak jelas, akun tb tb keluar padahal sudah banyak voc yang blm ku tukerin.",1,2025-12-04 11:55:39,qpon semakin kesini semakin tidak jelas akun tb tb keluar padahal sudah banyak voc yang blm ku tukerin,qpon kesini akun tb tb voc blm ku tukerin,negative
"tiba"" gk bisa cek in harian yg terakhir muncul aktivitas ini offline dan gk bisa belanja muncul terlalu banyak peminat. coba lagi nanti sebentar nanti udh hapus download lagi juga sama",1,2025-12-04 11:20:24,tiba gk bisa cek in harian yg terakhir muncul aktivitas ini offline dan gk bisa belanja muncul terlalu banyak peminat coba lagi nanti sebentar nanti udh hapus download lagi juga sama,cek in hari muncul aktivitas offline belanja muncul minat coba sebentar hapus download,negative
gak bs refund,1,2025-12-04 11:16:51,gak bs refund,bs refund,negative
"aplikasi nya entah kenapa ga bisa login, trus pas mau di co ga bisa katanya kuota penuh,pdhal cuma beli 1,udah install ulang ,sama aja ga bisa,entah kenapa",1,2025-12-04 11:14:11,aplikasi nya entah kenapa ga bisa login trus pas mau di co ga bisa katanya kuota penuh pdhal cuma beli udah install ulang sama aja ga bisa entah kenapa,aplikasi login trus pas co kuota penuh pdhal beli install ulang,negative
mantap banget diskonya banyak banget,5,2025-12-04 08:33:58,mantap banget diskonya banyak banget,mantap disko,positive
"Qpon benar-benar aplikasi terbaik buat anak muda! ✨ Interface-nya super mudah dipakai, banyak promo makanan harian yang bikin hidup makin hemat. Diskon kuliner kekinian di restoran favorit juga berlimpah, tinggal tukar voucher langsung jadi! Buat pelajar atau anak kos, ini solusi wajib biar gaya hidup tetap hemat dan seru. 🛍️",5,2025-12-04 07:15:00,qpon benar benar aplikasi terbaik buat anak muda interface nya super mudah dipakai banyak promo makanan harian yang bikin hidup makin hemat diskon kuliner kekinian di restoran favorit juga berlimpah tinggal tukar voucher langsung jadi buat pelajar atau anak kos ini solusi wajib biar gaya hidup tetap hemat dan seru,qpon aplikasi baik anak muda interface super mudah pakai promo makan hari bikin hidup hemat diskon kuliner kini restoran favorit limpah tinggal tukar voucher langsung ajar anak kos solusi wajib biar gaya hidup hemat seru,positive
"Aplikasi Qpon benar-benar bikin hidup lebih hemat! 🎉 User interface-nya praktis banget, gampang dipakai buat cari promo makanan harian. Banyak pilihan diskon restoran terdekat yang bikin pengeluaran anak kos jadi lebih terkendali. Ditambah lagi, tukar voucher di sini super simple. Wajib banget buat pelajar dan anak muda! 🚀",5,2025-12-04 06:54:36,aplikasi qpon benar benar bikin hidup lebih hemat user interface nya praktis banget gampang dipakai buat cari promo makanan harian banyak pilihan diskon restoran terdekat yang bikin pengeluaran anak kos jadi lebih terkendali ditambah lagi tukar voucher di sini super simple wajib banget buat pelajar dan anak muda,aplikasi qpon bikin hidup hemat user interface praktis gampang pakai cari promo makan hari pilih diskon restoran dekat bikin keluar anak kos kendali tambah tukar voucher super simple wajib ajar anak muda,positive
"Qpon bener-bener aplikasi wajib buat anak muda! 🎉 Penuh promo makanan harian, diskon restoran terdekat, dan fitur yang gampang dipakai. Interface-nya super praktis, nggak ribet sama sekali! Buat anak kos atau pelajar, ini solusi hemat setiap hari. Aplikasinya terpercaya, worth banget buat gaya hidup hemat. 🛍️",5,2025-12-04 06:51:50,qpon bener bener aplikasi wajib buat anak muda penuh promo makanan harian diskon restoran terdekat dan fitur yang gampang dipakai interface nya super praktis nggak ribet sama sekali buat anak kos atau pelajar ini solusi hemat setiap hari aplikasinya terpercaya worth banget buat gaya hidup hemat,qpon bener bener aplikasi wajib anak muda penuh promo makan hari diskon restoran dekat fitur gampang pakai interface super praktis nggak ribet anak kos ajar solusi hemat aplikasi percaya worth gaya hidup hemat,positive
"percuma di download tp ga Bs masuk pendaftaran Qpon, sampai saya beli no baru buat masuk aplikasi Qpon",1,2025-12-04 04:09:12,percuma di download tp ga bs masuk pendaftaran qpon sampai saya beli no baru buat masuk aplikasi qpon,download bs masuk daftar qpon beli no masuk aplikasi qpon,negative
"aplikasi Qpon bener-bener bikin hidup lebih hemat!🤩 banyak promo makanan harian yang bikin anak kos seperti aku tetap bisa makan enak tanpa khawatir dompet bolong. UI/UX-nya friendly banget, nggak ribet, gampang tukar voucher juga. cocok banget buat pelajar atau siapa pun yang mau hidup lebih bijak!👍🏻",5,2025-12-03 21:36:30,aplikasi qpon bener bener bikin hidup lebih hemat banyak promo makanan harian yang bikin anak kos seperti aku tetap bisa makan enak tanpa khawatir dompet bolong ui ux nya friendly banget nggak ribet gampang tukar voucher juga cocok banget buat pelajar atau siapa pun yang mau hidup lebih bijak,aplikasi qpon bener bener bikin hidup hemat promo makan hari bikin anak kos makan enak khawatir dompet bolong ui ux friendly nggak ribet gampang tukar voucher cocok ajar hidup bijak,positive
makanan serba murah apa lagi tanggal cantik murah bingits,5,2025-12-03 15:09:33,makanan serba murah apa lagi tanggal cantik murah bingits,makan serba murah tanggal cantik murah bingits,positive
"beli voucher qpon, ditukar di resto eh di tolak katanya sudah tidak kerja sama. diminta resto ajuin refund berbelit dengan alasan voucher masih aktif. giliran udah kadaluarsa expried lebih 7 hari dibilang hangus. lah saya ajuin dari awal ditolak, aneh banget!",1,2025-12-03 14:17:53,beli voucher qpon ditukar di resto eh di tolak katanya sudah tidak kerja sama diminta resto ajuin refund berbelit dengan alasan voucher masih aktif giliran udah kadaluarsa expried lebih hari dibilang hangus lah saya ajuin dari awal ditolak aneh banget,beli voucher qpon tukar resto eh tolak kerja resto ajuin refund belit alas voucher aktif gilir kadaluarsa expried bilang hangus ajuin tolak aneh,negative
"Aplikasi Qpon benar-benar bikin hidup lebih hemat! 🌟 Banyak promo makanan harian dan diskon kuliner kekinian yang gampang dicari. Fitur tukar voucher-nya praktis banget, cocok buat mahasiswa atau anak kos. Ga perlu repot, semua serba mudah. Wajib banget download kalau mau gaya hidup hemat tapi tetap seru! 🍔",5,2025-12-03 12:05:34,aplikasi qpon benar benar bikin hidup lebih hemat banyak promo makanan harian dan diskon kuliner kekinian yang gampang dicari fitur tukar voucher nya praktis banget cocok buat mahasiswa atau anak kos ga perlu repot semua serba mudah wajib banget download kalau mau gaya hidup hemat tapi tetap seru,aplikasi qpon bikin hidup hemat promo makan hari diskon kuliner kini gampang cari fitur tukar voucher praktis cocok mahasiswa anak kos repot serba mudah wajib download gaya hidup hemat seru,positive
"sebenarnya aplikasi ini bagus tetapi lamaa lama promonya semakin berkurang seperti dulu ketika checkin sampai 1 Minggu mendapatkan vocer 6rb min 12rb, sekarang beda jauh 4RB MIN 12rb jadi promonya semakin berkurang 😄",2,2025-12-03 12:04:29,sebenarnya aplikasi ini bagus tetapi lamaa lama promonya semakin berkurang seperti dulu ketika checkin sampai minggu mendapatkan vocer rb min rb sekarang beda jauh rb min rb jadi promonya semakin berkurang,aplikasi bagus lamaa promonya kurang checkin minggu vocer rb min rb beda rb min rb promonya kurang,negative
"bagus promonya banyak dan murah murah, permasalahan tentang voucher yang bisa di refund juga sudah diselesaikan jadi lebih aman",5,2025-12-03 12:02:16,bagus promonya banyak dan murah murah permasalahan tentang voucher yang bisa di refund juga sudah diselesaikan jadi lebih aman,bagus promonya murah murah masalah voucher refund selesai aman,positive
kenapa ya saya udah daftar kok daftar ulang lagi,3,2025-12-03 11:05:06,kenapa ya saya udah daftar kok daftar ulang lagi,ya daftar daftar ulang,neutral
apapun hadiah spinnya pasti cuma vocer 5K menangnya 😂 sudah di seting selalu berhenti di vocer 5k.,1,2025-12-03 07:41:01,apapun hadiah spinnya pasti cuma vocer k menangnya sudah di seting selalu berhenti di vocer k,apa hadiah spinnya vocer menang ting henti vocer,negative
"Aplikasi Qpon benar-benar solusi terbaik untuk anak muda yang mau hidup hemat! 🎉 Banyak promo makanan kekinian dan diskon restoran yang bikin dompet tetap aman. Gampang banget tukar voucher, gak ribet sama sekali. User interface-nya juga super praktis, bikin pengalaman pakai nyaman. Wajib ada di HP semua anak kos! 💸",5,2025-12-03 07:25:12,aplikasi qpon benar benar solusi terbaik untuk anak muda yang mau hidup hemat banyak promo makanan kekinian dan diskon restoran yang bikin dompet tetap aman gampang banget tukar voucher gak ribet sama sekali user interface nya juga super praktis bikin pengalaman pakai nyaman wajib ada di hp semua anak kos,aplikasi qpon solusi baik anak muda hidup hemat promo makan kini diskon restoran bikin dompet aman gampang tukar voucher ribet user interface super praktis bikin alam pakai nyaman wajib hp anak kos,positive
Aplikasi nya rada Longor .. baru sign out keluar buat bersihin cache masuk udah gak bisa lagi ... Hasyeummmmmm,1,2025-12-03 06:52:02,aplikasi nya rada longor baru sign out keluar buat bersihin cache masuk udah gak bisa lagi hasyeummmmmm,aplikasi rada longor sign out bersihin cache masuk hasyeummmmmm,negative
"salah 1 aplikasi yang harus di download, karna berguna banget buat cari diskon makanan/minuman, saat terjadi masalah atau refund customer service gercep nanganin'a",5,2025-12-03 03:52:05,salah aplikasi yang harus di download karna berguna banget buat cari diskon makanan minuman saat terjadi masalah atau refund customer service gercep nanganin a,salah aplikasi download karna guna cari diskon makan minum refund customer service gercep nanganin,positive
"Aplikasi Qpon ini benar-benar bikin hidup lebih hemat! 🎉 User interface-nya super gampang dipakai, jadi gak ribet buat cari promo makanan harian atau diskon restoran terdekat. Pilihan promo kulinernya juga kekinian banget, cocok buat anak muda terutama pelajar. Wajib punya kalau mau hemat tiap hari! 🍔",5,2025-12-03 03:21:39,aplikasi qpon ini benar benar bikin hidup lebih hemat user interface nya super gampang dipakai jadi gak ribet buat cari promo makanan harian atau diskon restoran terdekat pilihan promo kulinernya juga kekinian banget cocok buat anak muda terutama pelajar wajib punya kalau mau hemat tiap hari,aplikasi qpon bikin hidup hemat user interface super gampang pakai ribet cari promo makan hari diskon restoran dekat pilih promo kuliner kini cocok anak muda ajar wajib hemat,positive
proses refund lama,1,2025-12-03 03:11:04,proses refund lama,proses refund,negative
"Aplikasi Qpon benar-benar membantu kehidupan sehari-hari! 🌟 Promo makanan harian super banyak dan gampang banget tukar vouchernya. Cocok banget buat anak kos yang cari cara hemat atau pelajar yang pengen makan enak tanpa keluar banyak uang. Interface-nya user-friendly, praktis, dan gak ribet sama sekali. Wajib download! 🍔🥳",5,2025-12-03 00:32:14,aplikasi qpon benar benar membantu kehidupan sehari hari promo makanan harian super banyak dan gampang banget tukar vouchernya cocok banget buat anak kos yang cari cara hemat atau pelajar yang pengen makan enak tanpa keluar banyak uang interface nya user friendly praktis dan gak ribet sama sekali wajib download,aplikasi qpon bantu hidup hari promo makan hari super gampang tukar vouchernya cocok anak kos cari hemat ajar ken makan enak uang interface user friendly praktis ribet wajib download,positive
sangat puas,5,2025-12-02 20:01:12,sangat puas,puas,positive
"Aplikasinya bener-bener praktis dan bermanfaat banget! 😍 Banyak promo makanan harian yang bikin hemat tiap hari, cocok banget buat anak kos atau pelajar. User interface-nya sederhana, gampang tukar voucher, dan banyak pilihan diskon restoran terdekat. Wajib punya buat yang suka hidup hemat! 🌟",5,2025-12-02 14:54:17,aplikasinya bener bener praktis dan bermanfaat banget banyak promo makanan harian yang bikin hemat tiap hari cocok banget buat anak kos atau pelajar user interface nya sederhana gampang tukar voucher dan banyak pilihan diskon restoran terdekat wajib punya buat yang suka hidup hemat,aplikasi bener bener praktis manfaat promo makan hari bikin hemat cocok anak kos ajar user interface sederhana gampang tukar voucher pilih diskon restoran dekat wajib suka hidup hemat,positive
"Aplikasi Qpon benar-benar wajib banget buat anak muda! 📱 Antarmukanya super ramah pengguna dan gampang dipakai. Promo makanan hariannya bikin lebih hemat, apalagi kalau tinggal di kos. Banyak diskon restoran kekinian, solusinya buat hidup lebih hemat setiap hari! Ga pake ribet langsung tukar voucher 🎉",5,2025-12-02 14:29:58,aplikasi qpon benar benar wajib banget buat anak muda antarmukanya super ramah pengguna dan gampang dipakai promo makanan hariannya bikin lebih hemat apalagi kalau tinggal di kos banyak diskon restoran kekinian solusinya buat hidup lebih hemat setiap hari ga pake ribet langsung tukar voucher,aplikasi qpon wajib anak muda antarmuka super ramah guna gampang pakai promo makan hari bikin hemat tinggal kos diskon restoran kini solusi hidup hemat pake ribet langsung tukar voucher,positive
"Aplikasi ini benar-benar wajib banget buat anak muda! 😍 Gampang dipakai, promo makanan harian banyak banget, bikin hidup jauh lebih hemat. Diskon restoran terdekat bikin kita nggak perlu mikir ribet soal budget. Cepat tukar voucher, praktis dan worth it untuk gaya hidup hemat! 👍",5,2025-12-02 13:24:33,aplikasi ini benar benar wajib banget buat anak muda gampang dipakai promo makanan harian banyak banget bikin hidup jauh lebih hemat diskon restoran terdekat bikin kita nggak perlu mikir ribet soal budget cepat tukar voucher praktis dan worth it untuk gaya hidup hemat,aplikasi wajib anak muda gampang pakai promo makan hari bikin hidup hemat diskon restoran dekat bikin nggak mikir ribet budget cepat tukar voucher praktis worth it gaya hidup hemat,positive
"kenapa akun saya tiba2 gk bisa di gunakan, padahal semalam sore saya baru pakai dan masih ada voucer yg blm di tukar. Gini cerita nya uang saya gmn?",1,2025-12-02 12:23:25,kenapa akun saya tiba gk bisa di gunakan padahal semalam sore saya baru pakai dan masih ada voucer yg blm di tukar gini cerita nya uang saya gmn,akun malam sore pakai voucer blm tukar gin cerita uang gmn,negative
"setelah update sering whitescreen, ganggu pas mau pilih menu udah gtu lama lagi, bukan sekali 2 kali udah berkali kali",2,2025-12-02 12:10:52,setelah update sering whitescreen ganggu pas mau pilih menu udah gtu lama lagi bukan sekali kali udah berkali kali,update whitescreen ganggu pas pilih menu gtu kali kali kali,negative
"Alhamdulillah pelayanan ny baik ramah,,aku suka🙏",5,2025-12-02 11:25:34,alhamdulillah pelayanan ny baik ramah aku suka,alhamdulillah layan ny ramah suka,positive
"terikasih atas updatenya Qpon, sekarang saya sudah bisa menggunakan aplikasi ini dengan baik.",5,2025-12-02 10:53:32,terikasih atas updatenya qpon sekarang saya sudah bisa menggunakan aplikasi ini dengan baik,terikasih updatenya qpon aplikasi,positive
"Qpon benar-benar aplikasi wajib buat anak muda! 🎉 Interface-nya super user-friendly, jadi gampang banget buat cari promo makanan favorit. Promo-promo di sini juga bikin hidup jauh lebih hemat, pas banget buat pelajar atau anak kos. Setiap hari selalu ada diskon seru, pokoknya ini aplikasi worth it banget! 😍",5,2025-12-02 10:37:34,qpon benar benar aplikasi wajib buat anak muda interface nya super user friendly jadi gampang banget buat cari promo makanan favorit promo promo di sini juga bikin hidup jauh lebih hemat pas banget buat pelajar atau anak kos setiap hari selalu ada diskon seru pokoknya ini aplikasi worth it banget,qpon aplikasi wajib anak muda interface super user friendly gampang cari promo makan favorit promo promo bikin hidup hemat pas ajar anak kos diskon seru pokok aplikasi worth it,positive
proses refund tidak diproses. akun tiba2 keluar dan tidak bisa login,1,2025-12-02 09:52:54,proses refund tidak diproses akun tiba keluar dan tidak bisa login,proses refund proses akun login,negative
"Aplikasi ini benar-benar bikin hidup lebih hemat! 😍 User interfacenya super gampang dipahami, semua promo makanan enak dan kekinian tersedia di sini. Cukup pakai Qpon, diskon restoran terdekat langsung di tangan. Bikin anak kos kayak aku tetap bisa makan enak tiap hari tanpa bikin dompet nangis 🥳 Must-have banget!",5,2025-12-02 08:06:42,aplikasi ini benar benar bikin hidup lebih hemat user interfacenya super gampang dipahami semua promo makanan enak dan kekinian tersedia di sini cukup pakai qpon diskon restoran terdekat langsung di tangan bikin anak kos kayak aku tetap bisa makan enak tiap hari tanpa bikin dompet nangis must have banget,aplikasi bikin hidup hemat user interfacenya super gampang paham promo makan enak kini sedia pakai qpon diskon restoran dekat langsung tangan bikin anak kos kayak makan enak bikin dompet nang must have,positive
"Aplikasi ini benar-benar bikin hidup lebih hemat! 💰 Banyak promo makanan harian yang sangat membantu, apalagi buat anak kos atau pelajar seperti aku. Penggunaannya gampang banget, semua serba praktis dan cepat. Restoran terdekat langsung ada diskonnya, rasanya senang banget bisa makan enak tanpa bikin kantong jebol! 😍",5,2025-12-02 07:02:51,aplikasi ini benar benar bikin hidup lebih hemat banyak promo makanan harian yang sangat membantu apalagi buat anak kos atau pelajar seperti aku penggunaannya gampang banget semua serba praktis dan cepat restoran terdekat langsung ada diskonnya rasanya senang banget bisa makan enak tanpa bikin kantong jebol,aplikasi bikin hidup hemat promo makan hari bantu anak kos ajar guna gampang serba praktis cepat restoran dekat langsung diskon senang makan enak bikin kantong jebol,positive
sangat membantu,5,2025-12-02 05:38:17,sangat membantu,bantu,positive
Wah bagus banget lengkap juga 🥰,5,2025-12-02 00:55:22,wah bagus banget lengkap juga,bagus lengkap,positive
good,5,2025-12-01 15:43:06,good,good,positive
